date,gap,priv_fund_ratio,factor_rank,position,strategy_ret,strategy_net,equity
2022-12-19,,,,0.0,,,1.0
2022-12-20,-0.003923348045888481,,,0.0,-0.0,-0.0,1.0
2022-12-21,0.00501438972281833,,,0.0,0.0,0.0,1.0
2022-12-22,0.003939638611242697,,,0.0,0.0,0.0,1.0
2022-12-23,-0.01258109265049927,-1.3961299827470307e-08,,0.0,-0.0,-0.0,1.0
2022-12-26,-0.0003598870795864485,1.0134638903015555e-08,,0.0,-0.0,-0.0,1.0
2022-12-27,0.003253831538357305,1.4432616015587081e-08,,0.0,0.0,0.0,1.0
2022-12-28,-0.013048613845334355,-4.3297212914270425e-08,,0.0,-0.0,-0.0,1.0
2022-12-29,-0.006426589124525306,-2.421725035288164e-08,,0.0,-0.0,-0.0,1.0
2022-12-30,0.014139177849104761,-2.432214322333632e-08,,0.0,0.0,0.0,1.0
2023-01-02,0.003659267566417961,-4.9303404874887314e-09,,0.0,0.0,0.0,1.0
2023-01-03,-0.000787818957258337,7.028440030932852e-09,,0.0,-0.0,-0.0,1.0
2023-01-04,-0.00482854530955209,2.3728409576040618e-08,,0.0,-0.0,-0.0,1.0
2023-01-05,0.004868604889586162,2.98533469984798e-08,,0.0,0.0,0.0,1.0
2023-01-06,-0.005009734555297109,3.571926898779607e-08,,0.0,-0.0,-0.0,1.0
2023-01-09,0.01134743123053233,5.710482718366043e-08,,0.0,0.0,0.0,1.0
2023-01-10,-0.0017897603735153498,-5.899427379750053e-09,,0.0,-0.0,-0.0,1.0
2023-01-11,0.006847588448017479,1.5903533750148364e-08,,0.0,0.0,0.0,1.0
2023-01-12,0.0074742502962355725,3.442369154486098e-08,,0.0,0.0,0.0,1.0
2023-01-13,0.003736403768261064,4.021578276253107e-08,,0.0,0.0,0.0,1.0
2023-01-16,0.003765543023812179,2.8039930730356904e-08,,0.0,0.0,0.0,1.0
2023-01-17,0.0012241274168669596,9.536323919292114e-09,,0.0,0.0,0.0,1.0
2023-01-18,0.00032982573453999166,6.824260482614098e-09,,0.0,0.0,0.0,1.0
2023-01-19,-0.005354630848118949,4.62945650843034e-08,,0.0,-0.0,-0.0,1.0
2023-01-20,0.0009525658331337937,1.903196175960405e-08,,0.0,0.0,0.0,1.0
