date,open,high,low,close,I31000150F,I31000160F,I31000170F,I31000300F,I31000330F,turnover,I310006300,I310006400,I310001200,I310020032,I310020132,I310020232,I310020332,I310020432,I310020532,I310020632,I310020732,I310020832,net_priv_fund,I310021032,I310021132,I310021232,net_foreign,I310024132,gap,priv_fund_ratio,factor_rank,position,strategy_ret,strategy_net,equity
2022-12-19,2178.6,2208.75,2155.73,2181.81,-0.23,-2.95,-0.89,2196.22,2219.09,9287302100043,1302856988,1249114707,26.7910815549488,73257,95532,-12562,1184,260,-2444,5557,10411,-28812,-55308,451,-54856,18402,-14267,-40992,,,,0.0,,,1.0
2022-12-20,2173.25,2192.79,2139.89,2157.79,-1.1,-4.02,-2.47,2188.48,2216.55,10539915465572,1251603536,1248494752,26.8054490268341,-44944,20596,-13956,-11765,-8,-600,-44132,17831,197095,-170482,500,-169982,-214926,4923,-40992,-0.003923348045888481,,,0.0,-0.0,-0.0,1.0
2022-12-21,2168.61,2189.46,2135.92,2155.02,-0.13,-3.17,-1.73,2174.56,2212.9,10152595693528,1208364549,1247368596,26.728746880625,255350,205886,-2600,8255,3702,-418,-13149,2573,-195010,-63816,903,-62913,192438,53675,-40992,0.00501438972281833,,,0.0,0.0,0.0,1.0
2022-12-22,2163.51,2198.58,2145.9,2184.23,1.36,-1.1,0.43,2173.12,2209.45,13322587417732,1198688503,1247819589,26.7658849915775,785604,1107078,-9153,111556,943,-504423,5088,-24313,-848226,88430,-1493,86936,872540,74514,-40992,0.003939638611242697,,,0.0,0.0,0.0,1.0
2022-12-23,2156.75,2174.66,2122.31,2139.56,-2.05,-3.97,0.05,2163.68,2204.2,10810755643534,1196994843,1253647267,26.8109906746864,295630,286796,-1572,7869,4046,-1732,2271,1971,-141718,-151098,-4786,-155883,139746,-2048,-40992,-0.01258109265049927,-1.3961299827470307e-08,,0.0,-0.0,-0.0,1.0
2022-12-26,2138.79,2162.89,2115.55,2142.09,0.12,-4.56,3.54,2155.74,2200.61,9351705064615,1196025194,1248124034,26.7813978060736,882566,656846,94192,35064,3445,1889,-14723,-29254,-959197,109814,-3929,105885,988451,105853,-40992,-0.0003598870795864485,1.0134638903015555e-08,,0.0,-0.0,-0.0,1.0
2022-12-27,2149.06,2178.86,2130.94,2158.85,0.78,-3.82,4.06,2155.95,2196.61,11833935216253,1172161462,1249793485,26.7413929455966,1336300,1184369,43471,76841,-2453,-7334,-62500,19933,-1516643,160120,288,160408,1496709,103908,-40992,0.003253831538357305,1.4432616015587081e-08,,0.0,0.0,0.0,1.0
2022-12-28,2130.68,2154.42,2087.07,2111.54,-2.19,-4.63,4.51,2147.25,2188.63,12487739805514,1158606688,1244407819,26.5834896016653,-1189928,-1048136,-14555,46969,-6699,7742,-7949,39514,1641104,-500574,9885,-490689,-1680618,-167300,-40992,-0.013048613845334355,-4.3297212914270425e-08,,0.0,-0.0,-0.0,1.0
2022-12-29,2097.97,2120.02,2054.74,2068.72,-2.03,-7.6,2.49,2124.15,2177.94,10573312187219,1147449216,1241226343,26.5475271248156,-636473,-647859,-4552,15353,6485,8259,7979,59217,840908,-266668,3017,-263650,-900123,-22138,-40992,-0.006426589124525306,-2.421725035288164e-08,,0.0,-0.0,-0.0,1.0
2022-12-30,2097.97,2120.02,2054.74,2068.72,-2.03,-7.6,2.49,2124.15,2177.94,10573312187219,1147449216,1241226343,26.5475271248156,-636473,-647859,-4552,15353,6485,8259,7979,59217,840908,-266668,3017,-263650,-900123,-22138,-40992,0.014139177849104761,-2.432214322333632e-08,,0.0,0.0,0.0,1.0
2023-01-02,2076.29,2109.58,2037.12,2056.31,-0.6,-8.17,2.33,2107.5,2168.79,9441701381022,1109022398,1229604548,26.6134945472321,-292886,-220323,-49183,22971,-1805,1393,-16211,45524,300181,-54145,1326,-52820,-345706,-29728,-40992,0.003659267566417961,-4.9303404874887314e-09,,0.0,0.0,0.0,1.0
2023-01-03,2054.69,2086.77,2007.55,2056.52,0.01,-8.16,2.34,2090.39,2160,11096695154673,1160109382,1230557081,26.7442042638495,-345129,-344579,8015,-7359,2722,10794,-2144,-4697,270823,76150,2853,79003,-266126,-12578,-40992,-0.000787818957258337,7.028440030932852e-09,,0.0,-0.0,-0.0,1.0
2023-01-04,2046.59,2115.6,2026.28,2097.11,1.97,-6.35,1.66,2078.04,2154.72,11332649573365,1169996544,1231581157,26.9542780738098,-26930,-183866,-7092,113692,-2701,11345,37928,35419,-259627,251605,-468,251137,224209,3764,-40992,-0.00482854530955209,2.3728409576040618e-08,,0.0,-0.0,-0.0,1.0
2023-01-05,2107.32,2145.82,2072.98,2105.9,0.42,-5.66,2.18,2076.91,2150.43,12751462798217,1189309429,1233905582,27.0816296739218,-437247,-422895,-5503,1681,-3708,-1508,41762,19016,87942,329556,733,330289,-106958,-47075,-40992,0.004868604889586162,2.98533469984798e-08,,0.0,0.0,0.0,1.0
2023-01-06,2095.35,2155.61,2078.8,2131.76,1.23,-3.22,2.17,2089.52,2147.69,12145030223851,1188425662,1227697393,27.1627311458034,232435,60004,49970,58147,-2595,-7890,77501,-5720,-631977,405539,-275,405263,637698,-2702,-40992,-0.005009734555297109,3.571926898779607e-08,,0.0,-0.0,-0.0,1.0
2023-01-09,2155.95,2199.16,2135.96,2184.65,2.48,-1.15,5.12,2115.19,2146.42,11932112354824,1237714359,1224277825,27.2119265352876,737257,447915,133004,67016,4520,5825,38659,-21586,-1385801,676783,-6655,670129,1407386,40318,-40992,0.01134743123053233,5.710482718366043e-08,,0.0,0.0,0.0,1.0
